time,msg,codes,model,short_width,long_width,gap_limit,reset_limit,lengthBits,hex_data,binary_data,rowCount
@0.031347s,,,Unknown1,500.000,500.000,9000.000,10000.000,162,AAAAAAAAAAAAAAAA2DD4075B0A013000E078022400,101010101010101010101010101010101010101010101010101010101010101000101101110101000000011101011011000010100000000100110000000000001110000001111000000000100010010000,1
@0.023158s,,,Unknown1,500.000,500.000,9000.000,10000.000,156,AAAAAAAAAAAAAAAA2DD4075B05012A00F1780220,101010101010101010101010101010101010101010101010101010101010101000101101110101000000011101011011000001010000000100101010000000001111000101111000000000100010,1
@0.046614s,,,Unknown1,500.000,500.000,9000.000,10000.000,157,AAAAAAAAAAAAAAAA2DD4DCCC05013200FF780080,1010101010101010101010101010101010101010101010101010101010101010001011011101010011011100110011000000010100000001001100100000000011111111011110000000000010000,1
@0.154188s,,,Unknown1,500.000,500.000,9000.000,10000.000,151,AAAAAAAAAAAAAAAA2DD4DCCC6A20C8C8C80000,1010101010101010101010101010101010101010101010101010101010101010001011011101010011011100110011000110101000100000110010001100100011001000000000000000000,1
@0.031804s,,,Unknown1,500.000,500.000,9000.000,10000.000,162,AAAAAAAAAAAAAAAA2DD4DCCC0A013200F278009C00,101010101010101010101010101010101010101010101010101010101010101000101101110101001101110011001100000010100000000100110010000000001111001001111000000000001001110000,1
@0.023187s,,,Unknown1,500.000,500.000,9000.000,10000.000,156,AAAAAAAAAAAAAAAA2DD4075B05012A00F1780220,101010101010101010101010101010101010101010101010101010101010101000101101110101000000011101011011000001010000000100101010000000001111000101111000000000100010,1
@0.045933s,,,Unknown1,500.000,500.000,9000.000,10000.000,158,AAAAAAAAAAAAAAAA2DD4DCCC0501320100780088,10101010101010101010101010101010101010101010101010101010101010100010110111010100110111001100110000000101000000010011001000000001000000000111100000000000100010,1
@0.154200s,,,Unknown1,500.000,500.000,9000.000,10000.000,151,AAAAAAAAAAAAAAAA2DD4DCCC6A20C8C8C80000,1010101010101010101010101010101010101010101010101010101010101010001011011101010011011100110011000110101000100000110010001100100011001000000000000000000,1
@0.020907s,,,Unknown1,500.000,500.000,9000.000,10000.000,155,AAAAAAAAAAAAAAAA2DD4DCCC0A013200F2780080,10101010101010101010101010101010101010101010101010101010101010100010110111010100110111001100110000001010000000010011001000000000111100100111100000000000100,1
@0.023170s,,,Unknown1,500.000,500.000,9000.000,10000.000,156,AAAAAAAAAAAAAAAA2DD4075B05012A00F1780220,101010101010101010101010101010101010101010101010101010101010101000101101110101000000011101011011000001010000000100101010000000001111000101111000000000100010,1
@0.164260s,,,Unknown1,500.000,500.000,9000.000,10000.000,154,AAAAAAAAAAAAAAAA2DD4EEA06500C8C8C8000100,1010101010101010101010101010101010101010101010101010101010101010001011011101010011101110101000000110010100000000110010001100100011001000000000000000000100,2
@0.023192s,,,Unknown1,500.000,500.000,9000.000,10000.000,157,AAAAAAAAAAAAAAAA2DD4EEA005010A00EF7800D0,1010101010101010101010101010101010101010101010101010101010101010001011011101010011101110101000000000010100000001000010100000000011101111011110000000000011010,1
@0.023197s,,,Unknown1,500.000,500.000,9000.000,10000.000,157,AAAAAAAAAAAAAAAA2DD4EEA005010A00EF7800D0,1010101010101010101010101010101010101010101010101010101010101010001011011101010011101110101000000000010100000001000010100000000011101111011110000000000011010,1
@0.023196s,,,Unknown1,500.000,500.000,9000.000,10000.000,157,AAAAAAAAAAAAAAAA2DD4EEA005010A00EF7800D0,1010101010101010101010101010101010101010101010101010101010101010001011011101010011101110101000000000010100000001000010100000000011101111011110000000000011010,1
@0.023200s,,,Unknown1,500.000,500.000,9000.000,10000.000,157,AAAAAAAAAAAAAAAA2DD4EEA005010A00EF7800D0,1010101010101010101010101010101010101010101010101010101010101010001011011101010011101110101000000000010100000001000010100000000011101111011110000000000011010,1
@0.023169s,,,Unknown1,500.000,500.000,9000.000,10000.000,158,AAAAAAAAAAAAAAAA2DD4075B05012A00EC780228,10101010101010101010101010101010101010101010101010101010101010100010110111010100000001110101101100000101000000010010101000000000111011000111100000000010001010,1
@0.023146s,,,Unknown1,500.000,500.000,9000.000,10000.000,159,AAAAAAAAAAAAAAAA2DD4075B05012A00F278022C,101010101010101010101010101010101010101010101010101010101010101000101101110101000000011101011011000001010000000100101010000000001111001001111000000000100010110,1
@0.023152s,,,Unknown1,500.000,500.000,9000.000,10000.000,159,AAAAAAAAAAAAAAAA2DD4075B05012A00F278022C,101010101010101010101010101010101010101010101010101010101010101000101101110101000000011101011011000001010000000100101010000000001111001001111000000000100010110,1
@0.023154s,,,Unknown1,500.000,500.000,9000.000,10000.000,156,AAAAAAAAAAAAAAAA2DD4075B05012A00F3780220,101010101010101010101010101010101010101010101010101010101010101000101101110101000000011101011011000001010000000100101010000000001111001101111000000000100010,1
@0.023147s,,,Unknown1,500.000,500.000,9000.000,10000.000,156,AAAAAAAAAAAAAAAA2DD4075B05012A00F3780220,101010101010101010101010101010101010101010101010101010101010101000101101110101000000011101011011000001010000000100101010000000001111001101111000000000100010,1
@0.023164s,,,Unknown1,500.000,500.000,9000.000,10000.000,156,AAAAAAAAAAAAAAAA2DD4075B05012A00F3780220,101010101010101010101010101010101010101010101010101010101010101000101101110101000000011101011011000001010000000100101010000000001111001101111000000000100010,1
@0.023171s,,,Unknown1,500.000,500.000,9000.000,10000.000,156,AAAAAAAAAAAAAAAA2DD4075B05012A00F3780220,101010101010101010101010101010101010101010101010101010101010101000101101110101000000011101011011000001010000000100101010000000001111001101111000000000100010,1
@0.023163s,,,Unknown1,500.000,500.000,9000.000,10000.000,158,AAAAAAAAAAAAAAAA2DD4075B05012A00F47802D0,10101010101010101010101010101010101010101010101010101010101010100010110111010100000001110101101100000101000000010010101000000000111101000111100000000010110100,1
@0.023169s,,,Unknown1,500.000,500.000,9000.000,10000.000,158,AAAAAAAAAAAAAAAA2DD4075B05012A00F47802D0,10101010101010101010101010101010101010101010101010101010101010100010110111010100000001110101101100000101000000010010101000000000111101000111100000000010110100,1
@0.023196s,,,Unknown1,500.000,500.000,9000.000,10000.000,157,AAAAAAAAAAAAAAAA2DD4EEA005010A00EF7800D0,1010101010101010101010101010101010101010101010101010101010101010001011011101010011101110101000000000010100000001000010100000000011101111011110000000000011010,1
@0.056183s,,,Unknown1,500.000,500.000,9000.000,10000.000,158,AAAAAAAAAAAAAAAA2DD4DCCC0501320100780088,10101010101010101010101010101010101010101010101010101010101010100010110111010100110111001100110000000101000000010011001000000001000000000111100000000000100010,1
@0.164248s,,,Unknown1,500.000,500.000,9000.000,10000.000,151,AAAAAAAAAAAAAAAA2DD4DCCC6A20C8C8C80000,1010101010101010101010101010101010101010101010101010101010101010001011011101010011011100110011000110101000100000110010001100100011001000000000000000000,1
@0.023173s,,,Unknown1,500.000,500.000,9000.000,10000.000,158,AAAAAAAAAAAAAAAA2DD4075B05012A00F47802D0,10101010101010101010101010101010101010101010101010101010101010100010110111010100000001110101101100000101000000010010101000000000111101000111100000000010110100,1
@0.055819s,,,Unknown1,500.000,500.000,9000.000,10000.000,157,AAAAAAAAAAAAAAAA2DD4EEA005010A00EF7800D0,1010101010101010101010101010101010101010101010101010101010101010001011011101010011101110101000000000010100000001000010100000000011101111011110000000000011010,1
@0.046345s,,,Unknown1,500.000,500.000,9000.000,10000.000,159,AAAAAAAAAAAAAAAA2DD4DCCC05013200803C0044,101010101010101010101010101010101010101010101010101010101010101000101101110101001101110011001100000001010000000100110010000000001000000000111100000000000100010,1
@0.154230s,,,Unknown1,500.000,500.000,9000.000,10000.000,151,AAAAAAAAAAAAAAAA2DD4DCCC6A20C8C8C80000,1010101010101010101010101010101010101010101010101010101010101010001011011101010011011100110011000110101000100000110010001100100011001000000000000000000,1
