time,msg,codes,model,short_width,long_width,gap_limit,reset_limit,lengthBits,hex_data,binary_data,rowCount
@0.031347s,,,Unknown1,500.000,500.000,7000.000,9000.000,162,AAAAAAAAAAAAAAAA2DD4075B0A013000E078022400,101010101010101010101010101010101010101010101010101010101010101000101101110101000000011101011011000010100000000100110000000000001110000001111000000000100010010000,1
@0.031319s,,,Unknown1,500.000,500.000,7000.000,9000.000,156,AAAAAAAAAAAAAAAA2DD4DE6605009900793C0040,101010101010101010101010101010101010101010101010101010101010101000101101110101001101111001100110000001010000000010011001000000000111100100111100000000000100,1
@0.031804s,,,Unknown1,500.000,500.000,7000.000,9000.000,162,AAAAAAAAAAAAAAAA2DD4DCCC0A013200F278009C00,101010101010101010101010101010101010101010101010101010101010101000101101110101001101110011001100000010100000000100110010000000001111001001111000000000001001110000,1
@0.023187s,,,Unknown1,500.000,500.000,7000.000,9000.000,156,AAAAAAAAAAAAAAAA2DD4075B05012A00F1780220,101010101010101010101010101010101010101010101010101010101010101000101101110101000000011101011011000001010000000100101010000000001111000101111000000000100010,1
@0.154200s,,,Unknown1,500.000,500.000,7000.000,9000.000,147,AAAAAAAAAAAAAAAA2DD4DCCC6A20C8C8C80000,101010101010101010101010101010101010101010101010101010101010101000101101110101001101110011001100011010100010000011001000110010001100100000000000000,1
@0.023234s,,,Unknown1,500.000,500.000,7000.000,9000.000,156,AAAAAAAAAAAAAAAA2DD4075B05012A00F1780220,101010101010101010101010101010101010101010101010101010101010101000101101110101000000011101011011000001010000000100101010000000001111000101111000000000100010,1
@0.023170s,,,Unknown1,500.000,500.000,7000.000,9000.000,156,AAAAAAAAAAAAAAAA2DD4075B05012A00F1780220,101010101010101010101010101010101010101010101010101010101010101000101101110101000000011101011011000001010000000100101010000000001111000101111000000000100010,1
@0.164254s,,,Unknown1,500.000,500.000,7000.000,9000.000,147,AAAAAAAAAAAAAAAA2DD4DCCC6A20C8C8C80000,101010101010101010101010101010101010101010101010101010101010101000101101110101001101110011001100011010100010000011001000110010001100100000000000000,1
@0.023192s,,,Unknown1,500.000,500.000,7000.000,9000.000,157,AAAAAAAAAAAAAAAA2DD4EEA005010A00EF7800D0,1010101010101010101010101010101010101010101010101010101010101010001011011101010011101110101000000000010100000001000010100000000011101111011110000000000011010,1
@0.046102s,,,Unknown1,500.000,500.000,7000.000,9000.000,158,AAAAAAAAAAAAAAAA2DD4DCCC0501320100780088,10101010101010101010101010101010101010101010101010101010101010100010110111010100110111001100110000000101000000010011001000000001000000000111100000000000100010,1
@0.023184s,,,Unknown1,500.000,500.000,7000.000,9000.000,159,AAAAAAAAAAAAAAAA2DD4075B05012A00F278022C,101010101010101010101010101010101010101010101010101010101010101000101101110101000000011101011011000001010000000100101010000000001111001001111000000000100010110,1
@0.023206s,,,Unknown1,500.000,500.000,7000.000,9000.000,159,AAAAAAAAAAAAAAAA2DD4075B05012A00F278022C,101010101010101010101010101010101010101010101010101010101010101000101101110101000000011101011011000001010000000100101010000000001111001001111000000000100010110,1
@0.023146s,,,Unknown1,500.000,500.000,7000.000,9000.000,159,AAAAAAAAAAAAAAAA2DD4075B05012A00F278022C,101010101010101010101010101010101010101010101010101010101010101000101101110101000000011101011011000001010000000100101010000000001111001001111000000000100010110,1
@0.023152s,,,Unknown1,500.000,500.000,7000.000,9000.000,159,AAAAAAAAAAAAAAAA2DD4075B05012A00F278022C,101010101010101010101010101010101010101010101010101010101010101000101101110101000000011101011011000001010000000100101010000000001111001001111000000000100010110,1
@0.023156s,,,Unknown1,500.000,500.000,7000.000,9000.000,156,AAAAAAAAAAAAAAAA2DD4075B05012A00F3780220,101010101010101010101010101010101010101010101010101010101010101000101101110101000000011101011011000001010000000100101010000000001111001101111000000000100010,1
@0.033282s,,,Unknown1,500.000,500.000,7000.000,9000.000,140,AAAAAAAAAAAAAAAA2DD4DD401401DEF001A0,10101010101010101010101010101010101010101010101010101010101010100010110111010100110111010100000000010100000000011101111011110000000000011010,1
@0.023140s,,,Unknown1,500.000,500.000,7000.000,9000.000,156,AAAAAAAAAAAAAAAA2DD4075B05012A00F3780220,101010101010101010101010101010101010101010101010101010101010101000101101110101000000011101011011000001010000000100101010000000001111001101111000000000100010,1
@0.023197s,,,Unknown1,500.000,500.000,7000.000,9000.000,157,AAAAAAAAAAAAAAAA2DD4EEA005010A00EF7800D0,1010101010101010101010101010101010101010101010101010101010101010001011011101010011101110101000000000010100000001000010100000000011101111011110000000000011010,1
@0.023198s,,,Unknown1,500.000,500.000,7000.000,9000.000,157,AAAAAAAAAAAAAAAA2DD4EEA005010A00EF7800D0,1010101010101010101010101010101010101010101010101010101010101010001011011101010011101110101000000000010100000001000010100000000011101111011110000000000011010,1
@0.023161s,,,Unknown1,500.000,500.000,7000.000,9000.000,158,AAAAAAAAAAAAAAAA2DD4075B05012A00F47802D0,10101010101010101010101010101010101010101010101010101010101010100010110111010100000001110101101100000101000000010010101000000000111101000111100000000010110100,1
@0.023198s,,,Unknown1,500.000,500.000,7000.000,9000.000,157,AAAAAAAAAAAAAAAA2DD4EEA005010A00EF7800D0,1010101010101010101010101010101010101010101010101010101010101010001011011101010011101110101000000000010100000001000010100000000011101111011110000000000011010,1
@0.046047s,,,Unknown1,500.000,500.000,7000.000,9000.000,158,AAAAAAAAAAAAAAAA2DD4DCCC0501320100780088,10101010101010101010101010101010101010101010101010101010101010100010110111010100110111001100110000000101000000010011001000000001000000000111100000000000100010,1
@0.154229s,,,Unknown1,500.000,500.000,7000.000,9000.000,147,AAAAAAAAAAAAAAAA2DD4DCCC6A20C8C8C80000,101010101010101010101010101010101010101010101010101010101010101000101101110101001101110011001100011010100010000011001000110010001100100000000000000,1
@0.023160s,,,Unknown1,500.000,500.000,7000.000,9000.000,158,AAAAAAAAAAAAAAAA2DD4075B05012A00F47802D0,10101010101010101010101010101010101010101010101010101010101010100010110111010100000001110101101100000101000000010010101000000000111101000111100000000010110100,1
@0.056367s,,,Unknown1,500.000,500.000,7000.000,9000.000,158,AAAAAAAAAAAAAAAA2DD4DCCC0501320100780088,10101010101010101010101010101010101010101010101010101010101010100010110111010100110111001100110000000101000000010011001000000001000000000111100000000000100010,1
@0.055821s,,,Unknown1,500.000,500.000,7000.000,9000.000,157,AAAAAAAAAAAAAAAA2DD4EEA005010A00EF7800D0,1010101010101010101010101010101010101010101010101010101010101010001011011101010011101110101000000000010100000001000010100000000011101111011110000000000011010,1
@0.056284s,,,Unknown1,500.000,500.000,7000.000,9000.000,157,AAAAAAAAAAAAAAAA2DD4EEA005010A00EF7800D0,1010101010101010101010101010101010101010101010101010101010101010001011011101010011101110101000000000010100000001000010100000000011101111011110000000000011010,1
@0.056537s,,,Unknown1,500.000,500.000,7000.000,9000.000,157,AAAAAAAAAAAAAAAA2DD4EEA005010A00EF7800D0,1010101010101010101010101010101010101010101010101010101010101010001011011101010011101110101000000000010100000001000010100000000011101111011110000000000011010,1
@0.154233s,,,Unknown1,500.000,500.000,7000.000,9000.000,147,AAAAAAAAAAAAAAAA2DD4DCCC6A20C8C8C80000,101010101010101010101010101010101010101010101010101010101010101000101101110101001101110011001100011010100010000011001000110010001100100000000000000,1
@0.023164s,,,Unknown1,500.000,500.000,7000.000,9000.000,158,AAAAAAAAAAAAAAAA2DD4075B05012A00F57802D0,10101010101010101010101010101010101010101010101010101010101010100010110111010100000001110101101100000101000000010010101000000000111101010111100000000010110100,1
