time,msg,codes,model,short_width,long_width,gap_limit,reset_limit,lengthBits,hex_data,binary_data,rowCount
@0.031347s,,,Unknown1,500.000,500.000,9000.000,12000.000,162,AAAAAAAAAAAAAAAA2DD4075B0A013000E078022400,101010101010101010101010101010101010101010101010101010101010101000101101110101000000011101011011000010100000000100110000000000001110000001111000000000100010010000,1
@0.154218s,,,Unknown1,500.000,500.000,9000.000,12000.000,157,AAAAAAAAAAAAAAAA2DD4DCCC6A20C8C8C8000160,1010101010101010101010101010101010101010101010101010101010101010001011011101010011011100110011000110101000100000110010001100100011001000000000000000000101100,2
@0.031303s,,,Unknown1,500.000,500.000,9000.000,12000.000,163,AAAAAAAAAAAAAAAA16EA6E6605009900793C004E00,1010101010101010101010101010101010101010101010101010101010101010000101101110101001101110011001100000010100000000100110010000000001111001001111000000000001001110000,1
@0.031351s,,,Unknown1,500.000,500.000,9000.000,12000.000,155,AAAAAAAAAAAAAAAA2DD4DCCC0A013200F2780080,10101010101010101010101010101010101010101010101010101010101010100010110111010100110111001100110000001010000000010011001000000000111100100111100000000000100,1
@0.154188s,,,Unknown1,500.000,500.000,9000.000,12000.000,157,AAAAAAAAAAAAAAAA2DD4DCCC6A20C8C8C8000160,1010101010101010101010101010101010101010101010101010101010101010001011011101010011011100110011000110101000100000110010001100100011001000000000000000000101100,2
@0.021681s,,,Unknown1,500.000,500.000,9000.000,12000.000,155,AAAAAAAAAAAAAAAA2DD4DCCC0A013200F2780080,10101010101010101010101010101010101010101010101010101010101010100010110111010100110111001100110000001010000000010011001000000000111100100111100000000000100,1
@0.031280s,,,Unknown1,500.000,500.000,9000.000,12000.000,157,AAAAAAAAAAAAAAAA2DD4DCCC6A20C8C8C8000160,1010101010101010101010101010101010101010101010101010101010101010001011011101010011011100110011000110101000100000110010001100100011001000000000000000000101100,2
@0.031337s,,,Unknown1,500.000,500.000,9000.000,12000.000,162,AAAAAAAAAAAAAAAA2DD4DCCC0A013200F278009C00,101010101010101010101010101010101010101010101010101010101010101000101101110101001101110011001100000010100000000100110010000000001111001001111000000000001001110000,1
@0.129586s,,,Unknown1,500.000,500.000,9000.000,12000.000,157,AAAAAAAAAAAAAAAA2DD4DCCC6A20C8C8C8000160,1010101010101010101010101010101010101010101010101010101010101010001011011101010011011100110011000110101000100000110010001100100011001000000000000000000101100,2
@0.023170s,,,Unknown1,500.000,500.000,9000.000,12000.000,156,AAAAAAAAAAAAAAAA2DD4075B05012A00F1780220,101010101010101010101010101010101010101010101010101010101010101000101101110101000000011101011011000001010000000100101010000000001111000101111000000000100010,1
